Mã TC,Tiêu đề testcase,Kết quả mong đợi,Kết quả thực tế,Tình trạng thực thi,Mức độ nghiêm trọng của lỗi,Kiểu chạy (Thủ công / Tự động),Người kiểm thử,Ngày bắt đầu,Chi tiết bước kiểm thử,Ghi chú
EN-016,Enemy nhận damage được,Gọi TakeHit/TakeDamage thật làm HP Enemy giảm nếu hệ thống hỗ trợ.,"Player hỗ trợ=Kael _Test, method damage=EnemyDamageReceiver.TakeHit, HP trước=100.00, HP sau=95.00, số lỗi Console=3. KHÔNG ĐẠT - Enemy nhận damage phát sinh Error/Exception. Lỗi: Error: ""Stop"" can only be called on an active agent that has been placed on a NavMesh. | Error: ""Resume"" can only be called on an active agent that has been placed on a NavMesh. | ... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-017,Enemy chết khi HP về 0,Gọi damage lớn đưa HP về 0 và trạng thái chết/event chết được kích hoạt nếu đọc được.,KHÔNG ĐẠT - Không tìm thấy method TakeHit/TakeDamage thật trên Enemy.,Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-018,Enemy không hoạt động/gây damage sau khi chết nếu kiểm tra được,Enemy đã nhận damage chết rồi gọi combat không phát sinh Error/Exception.,KHÔNG ĐẠT - Không tìm thấy method TakeHit/TakeDamage thật trên Enemy.,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-019,Enemy không lỗi khi không có Player,Enemy chạy vài frame khi scene không có Player mà không Error/Exception.,"Enemy=Enemy_Bat_Test, số frame=30, active=True, lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-020,Enemy nhận target Player nếu có Player thật,Spawn Player prefab thật gần Enemy và detection/target không lỗi.,"Player=Kael _Test, Enemy=Enemy_Bat_Test, đọc CurrentTarget=True, target=null, lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-021,Enemy không rơi xuyên nền,Enemy đứng trên ground test và Y không giảm bất thường.,"Y ban đầu=1.20, Y sau=1.20, lệch Y=0.00, thời gian=1.00s, lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-022,Enemy có Collider hoặc CharacterController,Enemy có thành phần va chạm hợp lệ.,"Số Collider=2, CharacterController=không.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-023,Enemy có Renderer/material hợp lệ,Enemy có Renderer enabled và sharedMaterials không null.,"Renderer=2, Renderer enabled=1, material null=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-024,Enemy có Animator hợp lệ nếu có,Animator nếu tồn tại thì RuntimeAnimatorController không null.,"Animator=1, RuntimeAnimatorController null=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-025,Enemy có Audio reference hợp lệ nếu có,AudioSource playOnAwake nếu có thì clip không null.,"AudioSource=0, AudioClip null khi playOnAwake=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-026,Nhiều Enemy spawn cùng lúc không lỗi,Spawn 5 Enemy prefab thật không phát sinh Error/Exception.,"Số Enemy spawn cùng lúc=5, số lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-027,Enemy không tự disable ngay sau spawn,Enemy vẫn active sau vài frame.,"Enemy=Enemy_Bat_Test, activeSelf=True, activeInHierarchy=True.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-028,Enemy chạy 60 frame không Error/Exception,Enemy prefab thật chạy 60 frame không lỗi đỏ.,"Enemy=Enemy_Bat_Test, số frame=60, số lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-029,Enemy đánh được Player nếu hệ thống combat có,Enemy chọn/gọi attack thật với Player prefab thật không Error/Exception.,"Player=Kael _Test, Enemy=Enemy_Bat_Test, khoảng cách=5.48, method attack=EnemyCombat.PerformAttack, lỗi Console=0.",Pass,,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-030,Enemy không đánh khi đã chết nếu có thể kiểm tra,Enemy sau khi HP về 0 gọi attack không lỗi và không mở hitbox bất thường nếu đọc được.,KHÔNG ĐẠT - Không tìm thấy method TakeHit/TakeDamage thật trên Enemy.,Fail,Medium,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
EN-031,Tổng Enemy không lỗi đỏ,"Spawn Enemy, nhận damage, spawn Player, chọn attack và chạy vài frame không Error/Exception.","Enemy=Enemy_Bat_Test, Player=Kael _Test, HP trước=100.00, HP sau=100.00, damage method=EnemyDamageReceiver.TakeHit, attack method=EnemyCombat.PerformAttack, lỗi Console=3. KHÔNG ĐẠT - Tổng Enemy phát sinh Error/Exception. Lỗi: Error: ""Stop"" can only be called on an active agent that has been placed on a NavMesh. | Error: ""Resume"" can only be called on an act... (đã rút gọn, xem Unity Console để biết chi tiết)",Fail,High,Tự động,Huỳnh Ngọc Thanh Phước,31/05/2026,Tự động kiểm tra bằng Unity Test Runner.,
